date,holiday_name
2017-01-01 00:00:00+00:00,Neujahr
2017-01-06 00:00:00+00:00,Heilige Drei Könige
2017-04-17 00:00:00+00:00,Ostermontag
2017-05-01 00:00:00+00:00,Staatsfeiertag
2017-05-25 00:00:00+00:00,Christi Himmelfahrt
2017-06-05 00:00:00+00:00,Pfingstmontag
2017-06-15 00:00:00+00:00,Fronleichnam
2017-08-15 00:00:00+00:00,Mariä Himmelfahrt
2017-10-26 00:00:00+00:00,Nationalfeiertag
2017-11-01 00:00:00+00:00,Allerheiligen
2017-12-08 00:00:00+00:00,Mariä Empfängnis
2017-12-25 00:00:00+00:00,Christtag
2017-12-26 00:00:00+00:00,Stefanitag
2018-01-01 00:00:00+00:00,Neujahr
2018-01-06 00:00:00+00:00,Heilige Drei Könige
2018-04-02 00:00:00+00:00,Ostermontag
2018-05-01 00:00:00+00:00,Staatsfeiertag
2018-05-10 00:00:00+00:00,Christi Himmelfahrt
2018-05-21 00:00:00+00:00,Pfingstmontag
2018-05-31 00:00:00+00:00,Fronleichnam
2018-08-15 00:00:00+00:00,Mariä Himmelfahrt
2018-10-26 00:00:00+00:00,Nationalfeiertag
2018-11-01 00:00:00+00:00,Allerheiligen
2018-12-08 00:00:00+00:00,Mariä Empfängnis
2018-12-25 00:00:00+00:00,Christtag
2018-12-26 00:00:00+00:00,Stefanitag
2019-01-01 00:00:00+00:00,Neujahr
2019-01-06 00:00:00+00:00,Heilige Drei Könige
2019-04-22 00:00:00+00:00,Ostermontag
2019-05-01 00:00:00+00:00,Staatsfeiertag
2019-05-30 00:00:00+00:00,Christi Himmelfahrt
2019-06-10 00:00:00+00:00,Pfingstmontag
2019-06-20 00:00:00+00:00,Fronleichnam
2019-08-15 00:00:00+00:00,Mariä Himmelfahrt
2019-10-26 00:00:00+00:00,Nationalfeiertag
2019-11-01 00:00:00+00:00,Allerheiligen
2019-12-08 00:00:00+00:00,Mariä Empfängnis
2019-12-25 00:00:00+00:00,Christtag
2019-12-26 00:00:00+00:00,Stefanitag
2020-01-01 00:00:00+00:00,Neujahr
2020-01-06 00:00:00+00:00,Heilige Drei Könige
2020-04-13 00:00:00+00:00,Ostermontag
2020-05-01 00:00:00+00:00,Staatsfeiertag
2020-05-21 00:00:00+00:00,Christi Himmelfahrt
2020-06-01 00:00:00+00:00,Pfingstmontag
2020-06-11 00:00:00+00:00,Fronleichnam
2020-08-15 00:00:00+00:00,Mariä Himmelfahrt
2020-10-26 00:00:00+00:00,Nationalfeiertag
2020-11-01 00:00:00+00:00,Allerheiligen
2020-12-08 00:00:00+00:00,Mariä Empfängnis
2020-12-25 00:00:00+00:00,Christtag
2020-12-26 00:00:00+00:00,Stefanitag
2021-01-01 00:00:00+00:00,Neujahr
2021-01-06 00:00:00+00:00,Heilige Drei Könige
2021-04-05 00:00:00+00:00,Ostermontag
2021-05-01 00:00:00+00:00,Staatsfeiertag
2021-05-13 00:00:00+00:00,Christi Himmelfahrt
2021-05-24 00:00:00+00:00,Pfingstmontag
2021-06-03 00:00:00+00:00,Fronleichnam
2021-08-15 00:00:00+00:00,Mariä Himmelfahrt
2021-10-26 00:00:00+00:00,Nationalfeiertag
2021-11-01 00:00:00+00:00,Allerheiligen
2021-12-08 00:00:00+00:00,Mariä Empfängnis
2021-12-25 00:00:00+00:00,Christtag
2021-12-26 00:00:00+00:00,Stefanitag
2022-01-01 00:00:00+00:00,Neujahr
2022-01-06 00:00:00+00:00,Heilige Drei Könige
2022-04-18 00:00:00+00:00,Ostermontag
2022-05-01 00:00:00+00:00,Staatsfeiertag
2022-05-26 00:00:00+00:00,Christi Himmelfahrt
2022-06-06 00:00:00+00:00,Pfingstmontag
2022-06-16 00:00:00+00:00,Fronleichnam
2022-08-15 00:00:00+00:00,Mariä Himmelfahrt
2022-10-26 00:00:00+00:00,Nationalfeiertag
2022-11-01 00:00:00+00:00,Allerheiligen
2022-12-08 00:00:00+00:00,Mariä Empfängnis
2022-12-25 00:00:00+00:00,Christtag
2022-12-26 00:00:00+00:00,Stefanitag
